cache_size,lru_miss_ratio,fifo_miss_ratio
0,0.832715680764367,0.8388365884501897
1,0.8216242798932134,0.8232664746381902
2,0.8037709006603906,0.8042451173247155
3,0.7826331319376142,0.783300547983701
4,0.7585358999578474,0.7579914289728819
5,0.6874736546297597,0.6878249262329633
6,0.6669242658423493,0.684083883658845
7,0.6600656877897991,0.6396304622734298
8,0.6345194604468175,0.6354064212449065
9,0.6330529015034425,0.634378951805536
10,0.6326313755795981,0.6341067163130533
11,0.6305061823802164,0.6335798089082478
12,0.6220317549529296,0.6334919910074469
13,0.6076384010116622,0.6328245749613601
14,0.6033704510327386,0.632315231136715
15,0.597460306308838,0.6319200505831108
16,0.583699241253337,0.6313755795981453
17,0.5707373190951244,0.630769636082619
18,0.5622980188281579,0.44139033300547986
19,0.43031649571448644,0.43156350990585923
20,0.4301847688632851,0.43151081916537865
21,0.430175987073205,0.43144934663481804
22,0.430175987073205,0.4312210200927357
23,0.43012329633272445,0.43086974848953213
24,0.430079387382324,0.430079387382324
25,0.430079387382324,0.430079387382324
26,0.430079387382324,0.430079387382324
27,0.430079387382324,0.430079387382324
28,0.430079387382324,0.430079387382324
29,0.430079387382324,0.430079387382324
30,0.430079387382324,0.430079387382324
31,0.430079387382324,0.430079387382324
32,0.430079387382324,0.430079387382324
33,0.430079387382324,0.430079387382324
34,0.430079387382324,0.430079387382324
35,0.430079387382324,0.430079387382324
36,0.430079387382324,0.430079387382324
37,0.430079387382324,0.430079387382324
38,0.430079387382324,0.430079387382324
39,0.430079387382324,0.430079387382324
40,0.430079387382324,0.430079387382324
41,0.430079387382324,0.430079387382324
42,0.430079387382324,0.430079387382324
43,0.430079387382324,0.430079387382324
44,0.430079387382324,0.430079387382324
45,0.430079387382324,0.430079387382324
46,0.430079387382324,0.430079387382324
47,0.430079387382324,0.430079387382324
48,0.430079387382324,0.430079387382324
49,0.430079387382324,0.430079387382324
